MemTotal:       31442580 kB
MemFree:        11984800 kB
MemAvailable:   25230792 kB
Buffers:            5056 kB
Cached:         14762156 kB
SwapCached:            0 kB
Active:           746160 kB
Inactive:       18139076 kB
Active(anon):       2480 kB
Inactive(anon):  4132756 kB
Active(file):     743680 kB
Inactive(file): 14006320 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2134012 kB
SwapFree:        2134012 kB
Dirty:                92 kB
Writeback:             0 kB
AnonPages:       4117788 kB
Mapped:           181088 kB
Shmem:             17212 kB
KReclaimable:     113516 kB
Slab:             198272 kB
SReclaimable:     113516 kB
SUnreclaim:        84756 kB
KernelStack:        5976 kB
PageTables:        17592 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    17855300 kB
Committed_AS:   43405992 kB
VmallocTotal:   133143592960 kB
VmallocUsed:       21200 kB
VmallocChunk:          0 kB
Percpu:             3600 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
