MemTotal:       31442476 kB
MemFree:        25175436 kB
MemAvailable:   26071012 kB
Buffers:            8992 kB
Cached:          2619724 kB
SwapCached:            0 kB
Active:           612264 kB
Inactive:        5031164 kB
Active(anon):       4104 kB
Inactive(anon):  3214312 kB
Active(file):     608160 kB
Inactive(file):  1816852 kB
Unevictable:       26856 kB
Mlocked:           26856 kB
SwapTotal:       2134012 kB
SwapFree:        2134012 kB
Dirty:               136 kB
Writeback:             0 kB
AnonPages:       3039964 kB
Mapped:           220220 kB
Shmem:            194864 kB
KReclaimable:      62660 kB
Slab:             139844 kB
SReclaimable:      62660 kB
SUnreclaim:        77184 kB
KernelStack:        7200 kB
PageTables:        10120 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    30432240 kB
Committed_AS:    6924444 kB
VmallocTotal:   133143592960 kB
VmallocUsed:       22128 kB
VmallocChunk:          0 kB
Percpu:             3056 kB
HardwareCorrupted:     0 kB
AnonHugePages:   2619392 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:     43008 kB
FilePmdMapped:     32768 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
