MemTotal:       31442476 kB
MemFree:        26779036 kB
MemAvailable:   26216832 kB
Buffers:            8992 kB
Cached:           739660 kB
SwapCached:            0 kB
Active:           187484 kB
Inactive:        3774648 kB
Active(anon):       2044 kB
Inactive(anon):  3320692 kB
Active(file):     185440 kB
Inactive(file):   453956 kB
Unevictable:       28032 kB
Mlocked:           28032 kB
SwapTotal:       2134012 kB
SwapFree:        2134012 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:       3241604 kB
Mapped:           192340 kB
Shmem:            100416 kB
KReclaimable:      46712 kB
Slab:             119716 kB
SReclaimable:      46712 kB
SUnreclaim:        73004 kB
KernelStack:        7032 kB
PageTables:        10148 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    30432240 kB
Committed_AS:    6863180 kB
VmallocTotal:   133143592960 kB
VmallocUsed:       21608 kB
VmallocChunk:          0 kB
Percpu:             2688 kB
HardwareCorrupted:     0 kB
AnonHugePages:   3076096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:     14336 kB
FilePmdMapped:     14336 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
