MemTotal:       31442476 kB
MemFree:        21683048 kB
MemAvailable:   23265636 kB
Buffers:            7928 kB
Cached:          3612420 kB
SwapCached:            0 kB
Active:           953904 kB
Inactive:        8223728 kB
Active(anon):      52184 kB
Inactive(anon):  6023304 kB
Active(file):     901720 kB
Inactive(file):  2200424 kB
Unevictable:       21736 kB
Mlocked:           21736 kB
SwapTotal:       2134012 kB
SwapFree:        2134012 kB
Dirty:             65624 kB
Writeback:             0 kB
AnonPages:       5569668 kB
Mapped:           284892 kB
Shmem:            509364 kB
KReclaimable:      82424 kB
Slab:             162116 kB
SReclaimable:      82424 kB
SUnreclaim:        79692 kB
KernelStack:        6536 kB
PageTables:        15820 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    30432240 kB
Committed_AS:   11321908 kB
VmallocTotal:   133143592960 kB
VmallocUsed:       21656 kB
VmallocChunk:          0 kB
Percpu:             3680 kB
HardwareCorrupted:     0 kB
AnonHugePages:   5181440 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:      2048 kB
FilePmdMapped:      2048 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
