MemTotal:       31442476 kB
MemFree:        26903880 kB
MemAvailable:   26355768 kB
Buffers:            8992 kB
Cached:           759476 kB
SwapCached:            0 kB
Active:           194188 kB
Inactive:        3593844 kB
Active(anon):       1672 kB
Inactive(anon):  3118968 kB
Active(file):     192516 kB
Inactive(file):   474876 kB
Unevictable:       22500 kB
Mlocked:           22500 kB
SwapTotal:       2134012 kB
SwapFree:        2134012 kB
Dirty:                28 kB
Writeback:             0 kB
AnonPages:       3041964 kB
Mapped:           199976 kB
Shmem:             92232 kB
KReclaimable:      46904 kB
Slab:             120040 kB
SReclaimable:      46904 kB
SUnreclaim:        73136 kB
KernelStack:        7152 kB
PageTables:         9840 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    30432240 kB
Committed_AS:    6672316 kB
VmallocTotal:   133143592960 kB
VmallocUsed:       21728 kB
VmallocChunk:          0 kB
Percpu:             2576 kB
HardwareCorrupted:     0 kB
AnonHugePages:   2895872 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:     30720 kB
FilePmdMapped:     26624 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
