MemTotal:       31442476 kB
MemFree:        21667948 kB
MemAvailable:   23251852 kB
Buffers:            7928 kB
Cached:          3678316 kB
SwapCached:            0 kB
Active:           957680 kB
Inactive:        8271876 kB
Active(anon):      55616 kB
Inactive(anon):  6070664 kB
Active(file):     902064 kB
Inactive(file):  2201212 kB
Unevictable:       26704 kB
Mlocked:           26704 kB
SwapTotal:       2134012 kB
SwapFree:        2134012 kB
Dirty:               624 kB
Writeback:             0 kB
AnonPages:       5560736 kB
Mapped:           285876 kB
Shmem:            574128 kB
KReclaimable:      82788 kB
Slab:             162912 kB
SReclaimable:      82788 kB
SUnreclaim:        80124 kB
KernelStack:        6456 kB
PageTables:        15932 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    30432240 kB
Committed_AS:   11395232 kB
VmallocTotal:   133143592960 kB
VmallocUsed:       21672 kB
VmallocChunk:          0 kB
Percpu:             3680 kB
HardwareCorrupted:     0 kB
AnonHugePages:   5175296 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:      2048 kB
FilePmdMapped:      2048 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
