MemTotal:       31442476 kB
MemFree:        26876004 kB
MemAvailable:   26331244 kB
Buffers:            8992 kB
Cached:           766112 kB
SwapCached:            0 kB
Active:           202820 kB
Inactive:        3605436 kB
Active(anon):       1680 kB
Inactive(anon):  3132544 kB
Active(file):     201140 kB
Inactive(file):   472892 kB
Unevictable:       22500 kB
Mlocked:           22500 kB
SwapTotal:       2134012 kB
SwapFree:        2134012 kB
Dirty:                20 kB
Writeback:             0 kB
AnonPages:       3055652 kB
Mapped:           204796 kB
Shmem:             92232 kB
KReclaimable:      46964 kB
Slab:             120392 kB
SReclaimable:      46964 kB
SUnreclaim:        73428 kB
KernelStack:        7112 kB
PageTables:        10044 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    30432240 kB
Committed_AS:    6696484 kB
VmallocTotal:   133143592960 kB
VmallocUsed:       21792 kB
VmallocChunk:          0 kB
Percpu:             2576 kB
HardwareCorrupted:     0 kB
AnonHugePages:   2906112 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:     30720 kB
FilePmdMapped:     30720 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
